Season,Name,Team,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,FGA,FG%,3PG,3FGA,3FG%,FTA,FT%,REB,RPG,AST,APG,BLKS,BKPG,ST,STPG,TO,Ratio,Trpl Dbl,Dbl Dbl,MP,MPG,ORebs,DRebs
2016-2017,Stephon Jelks,Mercer,Jr.,6-6,F,32,,,,,,,,,,,,,213,6.7,,,,,,,,,,,,,71,
2016-2017,Sterling Brown,SMU,Sr.,6-6,G,35,,,,,,,,,,,,,227,4.91,,,,,50,1.43,,,,6,1143:00,,55,172
2016-2017,Sterling Taplin,Tulsa,So.,6-1,G,32,,,82,,,,,,,,97,84.5,,,122,3.8,,,,,,,,,,,,
2016-2017,Steve Taylor Jr.,Toledo,Sr.,6-9,F,33,210,,74,,,400,52.5,,,,151,,404,12.2,123,3.7,,,,,,,,23,,,78,326
2016-2017,Steve Vasturia,Notre Dame,Sr.,6-5,G,36,,,91,,,,,,,,100,91.0,,,119,,,,,,57,2.09,,,1244:00,34:33,,
2016-2017,Steven Cook,Princeton,Sr.,6-5,F,30,,,,,,,,,,,,,,,,,,,47,1.57,,,,,,,,
2016-2017,Steven Davis,Wright St.,Sr.,6-8,F,32,169,,,,,342,49.4,,,,,,,,,,,,,,,,,,,,,
2016-2017,Steven Santa Ana,Elon,So.,6-4,G,32,,71,,,,,,2.22,217,,,,,,,,,,,,,,,,,,,
2016-2017,Steven Spieth,Brown,Sr.,6-6,G,30,153,50,162,518,17.3,314,48.7,,,,184,88.0,,,,,,,43,1.43,,,,,1037:00,34:34,,
2016-2017,Stevie Browning,Marshall,Sr.,6-3,G,34,204,70,68,546,16.1,449,45.4,,177,,,,,,112,,,,,,57,1.96,,,,,,
2016-2017,Stevie Clark,Oakland,Jr.,5-11,G,27,,,,,,,,,,,,,,,108,4.0,,,,,58,1.86,,,,,,
2016-2017,Stevie Jordan,Rider,Fr.,6-0,G,29,,,,,,,,,,,,,,,161,5.6,,,39,1.34,103,1.56,,,,,,
2016-2017,Sviatoslav Mykhailiuk,Kansas,Jr.,6-8,G,36,,70,,,,,,,176,,,,,,,,,,,,,,,,,,,
2016-2017,T.J. Cline,Richmond,Sr.,6-9,F,35,243,48,114,648,18.5,470,51.7,,,,166,,272,7.8,197,5.6,,,,,103,1.91,2,11,1141:00,,30,242
2016-2017,T.J. Cromer,ETSU,Sr.,6-3,G,35,224,106,116,670,19.1,491,45.6,3.03,261,40.6,141,82.3,,,,,,,,,,,,,1110:00,,,
2016-2017,T.J. Williams,Northeastern,Sr.,6-3,G,30,202,36,202,642,21.4,436,46.3,,,,265,,,,158,5.3,,,,,101,1.56,1,,1145:00,38:10,,
2016-2017,TJ Haws,BYU,Fr.,6-4,G,34,,76,100,,,,,2.24,188,,127,78.7,,,,,,,,,,,,,,,,
2016-2017,TJ Holyfield,SFA,So.,6-8,F,32,,,,,,,,,,,,,229,7.2,,,39,1.22,,,,,,7,,,73,156
2016-2017,TJ Leaf,UCLA,Fr.,6-10,F,35,235,27,72,569,16.3,381,61.7,,,,,,287,8.2,,,39,1.11,,,,,,11,,,78,209
2016-2017,Ta'Jay Henry,Mississippi Val.,Sr.,6-4,F,21,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
2016-2017,Tacko Fall,UCF,So.,7-6,C,36,,,,,,,,,,,,,343,9.5,,,94,2.61,,,,,,12,,,129,214
2016-2017,Tahjere McCall,Tennessee St.,Sr.,6-5,G,27,,,123,,,,,,,,193,,,,139,5.1,,,76,2.81,,,,,,,,
2016-2017,Tai Odiase,UIC,Jr.,6-9,C,36,,,,,,,,,,,,,249,6.9,,,104,2.89,,,,,,7,,,104,145
2016-2017,Tai Webster,Nebraska,Sr.,6-4,G,31,183,40,122,528,17.0,435,,,,,164,,,,124,4.0,,,42,1.35,,,,,1075:00,34:40,,
2016-2017,Tamas Bruce,Arkansas St.,Jr.,6-7,F,32,,,,,,,,,,,,,,2.19,,,,,,,,,,,,,70,
2016-2017,Tanner Leissner,New Hampshire,Jr.,6-6,F,32,185,21,156,547,17.1,394,47.0,,,,188,83.0,221,6.9,,,,,,,,,,5,1102:00,34:26,73,148
2016-2017,Tanner Rubio,Jacksonville,Fr.,6-0,G,29,,64,,,,,,2.21,,,,,,,,,,,,,,,,,,,,
2016-2017,Tarik Phillip,West Virginia,Sr.,6-3,G,37,,,,,,,,,,,,,,,112,,,,63,1.70,57,1.96,,,,,,
2016-2017,Tariq Owens,St. John's (NY),So.,6-10,F,32,,,,,,,,,,,,,,,,,69,2.16,,,,,,,,,,
2016-2017,Tarkus Ferguson,UIC,Fr.,6-4,G,36,,,,,,,,,,,,,,4.83,177,4.9,,,49,1.36,,,,7,1158:00,,,174
2016-2017,Taurean Thompson,Syracuse,Fr.,6-11,F,34,,,,,,,,,,,,,,,,,33,,,,,,,,,,,
2016-2017,Tavon Blackmon,Brown,Sr.,6-0,G,28,,,,,,,,,,,,,,,109,3.9,,,,,61,1.79,,,,,,
2016-2017,Tavrion Dawson,CSUN,Jr.,6-8,F,30,152,,,,,292,52.1,,,,,,208,6.9,,,,,,,,,,6,,,,146
2016-2017,Tayler Persons,Ball St.,So.,6-3,G,34,183,,116,526,,382,47.9,,,,152,,,,167,4.9,,,44,,106,1.58,,,,,,
2016-2017,Taylor Barnette,Belmont,Sr.,6-3,G,30,,63,,,,,,2.10,221,,,,,,,,,,,,,,,,995:00,33:10,,
2016-2017,Taylor Bessick,Iona,Sr.,6-9,F,34,,,,,,,,,,,,,,,,,45,1.32,,,,,,,,,,
2016-2017,Te'Jon Lucas,Illinois,Fr.,6-2,G,31,,,,,,,,,,,,,,,95,,,,,,51,1.86,,,,,,
2016-2017,Terence Davis,Ole Miss,So.,6-4,G,36,200,,86,535,,415,48.2,,,,,,,,,,,,50,1.39,,,,5,,,,
2016-2017,Terrell Lewis,Eastern Ill.,Jr.,5-7,G,29,,72,,,,,,2.48,186,,,,,,136,4.7,,,,,50,2.72,,,,,,
2016-2017,Terrell Miller,Murray St.,Jr.,6-8,F,33,184,67,94,529,16.0,386,47.7,,,,121,77.7,269,8.2,,,,,,,,,,12,,,78,191
2016-2017,Terrence Phillips,Missouri,So.,5-11,G,32,,,81,,,,,,,,102,79.4,,,142,4.4,,,44,1.38,79,1.80,,,,,,
2016-2017,Terry Harris Jr,Coppin St.,Sr.,6-8,F,29,,,82,,,,,,,,104,78.8,,,,,,,,,,,,,,,,
2016-2017,Terry Henderson,NC State,Sr.,6-5,G,32,,78,,,,,,2.44,203,,,,,,,,,,,,,,,,,,,
2016-2017,Tevin Bellinger,Prairie View,Sr.,6-0,G,32,,,,,,,,,,,,,,,,,,,46,1.44,,,,,,,,
2016-2017,Tevin Glass,ETSU,Sr.,6-8,F,35,,,,,,,,,,,,,220,,,,,,,,,,,,,,62,158
2016-2017,Tevonn Walker,Valparaiso,Jr.,6-2,G,31,,,100,,,,,,,,125,80.0,,,,,,,,,,,,,,,,
2016-2017,Thik Bol,Southern Ill.,Jr.,6-8,F,33,,,,,,,,,,,,,224,6.8,,,76,2.30,,,,,,,,,80,144
2016-2017,Thomas Bruce,Binghamton,So.,6-9,F,30,,,,,,,,,,,,,,,,,30,1.00,,,,,,,,,,
2016-2017,Thomas Bryant,Indiana,So.,6-10,C,34,,,,,,,,,,,,,226,6.6,,,52,1.53,,,,,,7,,,76,150
2016-2017,Thomas Welsh,UCLA,Jr.,7-0,C,32,,,,,,,,,,,,,277,8.7,,,43,1.34,,,,,,9,,,70,207
2016-2017,Thomas Wilder,Western Mich.,Jr.,6-3,G,32,197,63,159,616,19.3,430,45.8,,,,191,83.2,,,121,3.8,,,,,64,1.89,,,,,,
2016-2017,Tidell Pierre,Central Conn. St.,Sr.,6-7,G,29,,,,,,,,,,,,,198,6.8,,,,,,,,,,,,,94,
2016-2017,Tim Bond,Eastern Mich.,Jr.,6-7,G,33,,,,,,,,,,,,,,,132,4.0,,,69,2.09,62,2.13,,,,,,
2016-2017,Tim Coleman,NJIT,Sr.,6-5,F,31,,,,,,,,,,,,,214,6.9,,,32,1.03,,,,,,6,,,,172
2016-2017,Tim Kempton,Lehigh,Sr.,6-10,C,32,231,23,168,653,20.4,422,54.7,,,,221,,333,10.4,,,41,1.28,,,,,,21,,,62,271
2016-2017,Timmy Rose,Binghamton,So.,6-1,G,32,,,,,,,,,,,,,,,116,3.6,,,,,59,1.97,,,,,,
2016-2017,Tiwian Kendley,Morgan St.,Jr.,6-5,G,23,139,48,158,484,21.0,,,2.09,,,201,78.6,,,,,,,,,,,,,,,,
2016-2017,Tobias Sjoberg,Marist,Fr.,6-9,C,30,,,,,,,,,,,,,,,,,33,1.10,,,,,,,,,,
2016-2017,Tom Lacey,Navy,Jr.,6-7,F,32,,,,,,,,,,,,,246,7.7,,,,,,,,,,5,,,100,146
2016-2017,Tommy Funk,Army West Point,Fr.,5-11,G,32,,,,,,,,,,,,,,,155,4.8,,,,,88,1.76,,,,,,
2016-2017,Tommy Rutherford,UC Irvine,Fr.,6-8,F,36,,,,,,,,,,,,,,,,,32,,,,,,,,,,,
2016-2017,Tony Armstrong,Alabama St.,Sr.,6-6,F,31,,,,,,,,,,,,,205,6.6,,,,,,,,,,,,,74,
2016-2017,Tony Bradley,North Carolina,Fr.,6-10,F,38,,,,,,,,,,,,,,2.58,,,,,,,,,,,,,98,
2016-2017,Tony Carr,Penn St.,Fr.,6-5,G,33,,,121,,,,,,,,157,,,,139,4.2,,,,,86,1.62,,,,,,
2016-2017,Tookie Brown,Ga. Southern,So.,5-11,G,33,177,61,148,563,17.1,436,,,,,193,,,,131,4.0,,,46,1.39,73,1.79,,,1123:00,34:01,,
2016-2017,Torian Graham,Arizona St.,Sr.,6-4,G,33,230,108,46,614,18.6,513,44.8,3.27,279,38.7,,,,,,,,,,,,,,,1146:00,34:43,,
2016-2017,Torry Butler,Sam Houston,Sr.,6-5,F,34,,,,,,,,,,,,,216,,,,,,,,,,,,,,59,157
2016-2017,Tosin Mehinti,UAB,Sr.,6-9,F,33,,,,,,,,,,,,,,,,,33,1.00,,,,,,,,,,
2016-2017,Tra Holder,Arizona St.,Jr.,6-1,G,33,169,46,152,536,16.2,390,,,,,197,,,,106,,,,,,66,1.61,,,1174:00,35:34,,
2016-2017,Tra-Deon Hollins,Omaha,Sr.,6-2,G,32,,,97,,,,,,,,123,78.9,,,209,6.5,,,108,3.38,119,1.76,,,1055:00,32:58,,
2016-2017,Trae Bell-Haynes,Vermont,Jr.,6-2,G,35,,,,,,,,,,,,,,,136,3.9,,,,,64,2.13,,,,,,
2016-2017,Travin Thibodeaux,New Orleans,Jr.,6-9,F,32,,,,,,,,,,,,,233,7.3,,,,,47,1.47,,,1,5,,,66,167
2016-2017,Travis Munnings,ULM,So.,6-6,F,33,,,,,,,,,,,,,266,8.1,,,,,,,,,,7,1113:00,33:43,69,197
2016-2017,Trayvon Palmer,Chicago St.,Sr.,6-6,G,32,172,,114,,,379,45.4,,,,158,,302,9.4,,,,,48,1.50,,,,14,1151:00,35:58,95,207
2016-2017,Tre' Coggins,Cal St. Fullerton,Sr.,6-2,G,30,177,89,82,525,17.5,429,,2.97,250,35.6,98,83.7,,,,,,,,,,,,,,,,
2016-2017,Tre' McLean,Chattanooga,Sr.,6-5,G,30,,,79,,,,,,,,99,79.8,,,,,,,48,1.60,,,,,,,,
2016-2017,Tre' Thomas,Coppin St.,Jr.,6-3,G,32,,64,,,,,,,181,,,,,,,,,,,,,,,,,,,
2016-2017,Tre'Darius McCallum,DePaul,Jr.,6-7,F,32,,,,,,,,,,,,,217,6.8,,,,,49,1.53,,,,5,,,49,168
2016-2017,Tre'Shawn Thurman,Omaha,Jr.,6-7,F,32,166,,,,,334,49.7,,,,,,248,7.8,,,,,,,,,,9,,,65,183
2016-2017,Trelun Banks,Southern U.,Sr.,6-1,G,33,,,,,,,,,,,,,,,164,5.0,,,,,106,1.55,,,1135:00,34:23,,
2016-2017,Trent Forrest,Florida St.,Fr.,6-5,G,35,,,,,,,,,,,,,,,,,,,43,,,,,,,,,
2016-2017,Treshaad Williams,Morehead St.,Sr.,6-5,F,30,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,75,
2016-2017,Trevis Wyche,Saint Peter's,Sr.,6-1,G,36,,,116,,,,,,,,149,77.9,,,137,3.8,,,55,1.53,53,2.58,,,1103:00,,,
2016-2017,Trevon Bluiett,Xavier,Jr.,6-6,G,36,212,91,150,665,18.5,484,,2.53,245,37.1,199,,,4.94,,,,,,,,,,,1263:00,35:05,,178
2016-2017,Trevond Barnes,Hampton,So.,6-9,F,31,,,,,,,,,,,,,,,,,48,1.55,,,,,,,,,,
2016-2017,Trevor Lyons,Air Force,Jr.,6-3,G,33,,,,,,,,,,,,,,,,,,,47,1.42,,,,,,,,
2016-2017,Trevor Thompson,Ohio St.,Jr.,6-11,C,32,,,,,,,,,,,,,293,9.2,,,48,1.50,,,,,,11,,,86,207
2016-2017,Trey Burch-Manning,South Dakota,So.,6-6,F,34,,,,,,,,,,,,,226,6.6,,,,,,,,,,,,,65,161
2016-2017,Trey Kell,San Diego St.,Jr.,6-4,G,33,,,111,,,,,,,,145,,,,,,,,45,1.36,,,,,,,,
2016-2017,Trey Kellum,Southeast Mo. St.,Sr.,6-7,F,28,,,,,,,,,,,,,,2.86,,,,,,,,,,,,,80,
2016-2017,Trey Moses,Ball St.,So.,6-9,C,33,,,,,,,,,,,,,274,8.3,,,37,1.12,,,,,,8,,,80,194
2016-2017,Trey Porter,Old Dominion,So.,6-11,F,31,,,,,,,,,,,,,,,,,47,1.52,,,,,,,,,,
2016-2017,Triston Chambers,Samford,Fr.,6-2,G,36,,73,,,,,,,177,,,,,,,,,,,,,,,,,,,
2016-2017,Troy Caupain,Cincinnati,Sr.,6-4,G,36,,,,,,,,,,,,,,,158,4.4,,,,,47,3.36,,,1162:00,,,
2016-2017,Troyce Manassa,Savannah St.,Sr.,6-4,G,29,161,64,104,490,16.9,363,44.4,2.21,181,,,,,,,,,,,,,,,,,,,
2016-2017,Tucker Haymond,Western Mich.,Sr.,6-5,F,32,,,124,,,,,,,,167,,,,,,,,,,,,,,,,,
2016-2017,Tulio Da Silva,South Fla.,Fr.,6-8,F,30,,,,,,,,,,,,,203,6.8,,,,,,,,,,,,,67,
2016-2017,Ty Toney,Eastern Mich.,Sr.,6-2,G,30,,,,,,,,,,,,,,,,,,,48,1.60,,,,,,,,
2016-2017,Tyler Cavanaugh,George Washington,Sr.,6-9,F,35,200,67,173,640,18.3,446,44.8,,,,204,84.8,294,8.4,,,,,,,,,,12,1126:00,,87,207
2016-2017,Tyler Davis,Texas A&M,So.,6-10,C,31,167,,106,,,270,61.9,,,,153,,216,7.0,,,,,,,,,,,,,95,121
2016-2017,Tyler Dorsey,Oregon,So.,6-4,G,39,189,88,105,571,,405,,2.26,208,,,,,,,,,,,,,,,,1169:00,,,
2016-2017,Tyler Flack,South Dakota,Sr.,6-7,F,25,,,,,,,,,,,,,,,,,41,,,,,,,,,,,
2016-2017,Tyler Hall,Montana St.,So.,6-5,G,32,240,120,139,739,23.1,504,47.6,3.75,280,42.9,166,83.7,,4.84,,,,,,,,,,,1106:00,34:33,,155
2016-2017,Tyler Lewis,Butler,Sr.,5-11,G,34,,,,,,,,,,,,,,,137,4.0,,,,,33,4.15,,,,,,
2016-2017,Tyler Livingston,UMass Lowell,Sr.,6-5,F,31,,79,,,,,,2.55,171,46.2,,,,,,,,,,,,,,,,,,
2016-2017,Tyler Lydon,Syracuse,So.,6-9,F,34,,,97,,,,,,,,116,83.6,294,8.6,,,49,1.44,,,,,,9,1227:00,36:05,79,215
2016-2017,Tyler Nelson,Fairfield,Jr.,6-3,G,31,196,81,131,604,19.5,442,44.3,2.61,207,39.1,153,85.6,,,112,3.6,,,,,69,1.62,,,1119:00,36:05,,
2016-2017,Tyler Seibring,Elon,So.,6-8,F,32,169,,,,,359,47.1,,,,,,221,6.9,,,,,,,,,,,,,54,167
2016-2017,Tyler Stone,Howard,Sr.,6-7,F,33,,,,,,,,,,,,,,,,,40,1.21,,,,,,,,,,
2016-2017,Tyler Williams,San Diego,So.,6-5,G,31,,,,,,,,,,,,,,,,,,,,,,,,,1041:00,33:34,,
2016-2017,Tyrell Johnson,App State,So.,6-8,F,30,,,,,,,,,,,,,,,,,33,1.10,,,,,,,,,,
2016-2017,Tyrell Nelson,Gardner-Webb,Sr.,6-7,C,33,,,,,,,,,,,,,232,7.0,,,,,,,,,,5,,,64,168
2016-2017,Tyrik Dixon,Middle Tenn.,Fr.,6-1,G,36,,,,,,,,,,,,,,,119,,,,45,,46,2.59,,,,,,
2016-2017,Tyus Battle,Syracuse,Fr.,6-6,G,34,,,,,,,,,,,,,,,,,,,44,,,,,,,,,
2016-2017,Ulmer Manzie,Bethune-Cookman,So.,6-7,F,32,,,,,,,,,,,,,,,,,32,1.00,,,,,,,,,,
2016-2017,V.J. Beachem,Notre Dame,Sr.,6-8,F,36,187,87,61,522,,443,,2.42,241,,,,,,,,38,1.06,,,,,,,1230:00,34:10,,
2016-2017,Valentine Izundu,San Diego St.,So.,6-10,C,30,,,,,,,,,,,,,,,,,53,1.77,,,,,,,,,,
2016-2017,Vic Law,Northwestern,So.,6-7,F,36,,,,,,,,,,,,,,,,,,,,,,,,,1155:00,,,
2016-2017,Victor Sanders,Idaho,Jr.,6-5,G,32,206,101,157,670,20.9,453,45.5,3.16,230,43.9,201,78.1,,,,,,,55,1.72,,,,,,,,
2016-2017,Vincent Edwards,Purdue,Jr.,6-8,F,35,,,,,,,,,,,,,,,112,,,,,,59,1.90,,,,,,
2016-2017,Vladimir Brodziansky,TCU,Jr.,6-11,F,39,203,,131,548,,360,56.4,,,,169,,222,2.18,,,82,2.10,,,,,,,,,85,137
2016-2017,Wajid Aminu,North Florida,Fr.,6-7,F,34,,,,,,,,,,,,,220,2.65,,,36,1.06,,,,,,5,,,90,130
2016-2017,Walter Wright,Montana,Sr.,5-10,G,31,,,84,,,,,,,,97,86.6,,,,,,,,,,,,,,,,
2016-2017,Warren Jones,Green Bay,Sr.,6-3,G,29,,,87,,,,,,,,108,80.6,,,,,,,,,,,,,,,,
2016-2017,Warren Sledge,The Citadel,Sr.,6-3,G,33,,,,,,,,,,,,,,,113,,,,,,42,2.69,,,,,,
2016-2017,Wayne Martin,Tennessee St.,Sr.,6-7,F,30,172,,,,,297,57.9,,,,,,275,9.2,,,,,,,,,,10,,,88,187
2016-2017,Wenyen Gabriel,Kentucky,Fr.,6-9,F,38,,,,,,,,,,,,,,,,,34,,,,,,,,,,,
2016-2017,Wesley Gordon,Colorado,Sr.,6-9,F,32,,,,,,,,,,,,,,2.28,,,48,1.50,,,,,,,,,73,
2016-2017,Wesley Iwundu,Kansas St.,Sr.,6-7,F,35,,,122,,,,,,,,159,,221,5.29,121,3.5,,,,,,,,5,1098:00,,36,185
2016-2017,Wesley Myers,Maine,Jr.,6-1,G,28,164,34,110,472,16.9,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Wesley Person,Troy,Jr.,6-3,G,37,164,94,126,548,,,,2.54,235,40.0,154,81.8,,,,,,,,,,,,,1160:00,,,
2016-2017,Will Darley,UMBC,Sr.,6-8,G,34,182,90,98,552,16.2,373,48.8,2.65,203,44.3,110,89.1,,,,,,,,,,,,,,,,
2016-2017,Will Magarity,Davidson,Jr.,6-11,F,29,,,,,,,,,,,,,,,,,40,1.38,,,,,,,,,,
2016-2017,William Lee,UAB,Jr.,6-9,F,33,,,,,,,,,,,,,220,6.7,,,80,2.42,,,,,,5,,,41,179
2016-2017,Willie Clayton,Georgia St.,Sr.,6-8,F,33,,,,,,,,,,,,,237,7.2,,,,,,,,,,,,,97,140
2016-2017,Willie Conner,Buffalo,Sr.,6-3,G,32,,67,,,,,,2.09,181,,,,,,,,,,,,,,,,,,,
2016-2017,Willie Mangum IV,Eastern Mich.,Sr.,6-1,G,32,172,93,64,501,15.7,421,,2.91,247,37.7,,,,,,,,,48,1.50,,,,,,,,
2016-2017,Wyatt Walker,Samford,So.,6-9,C,34,,,124,,,,,,,,163,,329,9.7,,,,,,,,,,17,,,99,230
2016-2017,Xavier Cooks,Winthrop,Jr.,6-8,F,33,196,38,113,543,16.5,402,48.8,,,,162,,300,9.1,,,56,1.70,,,,,,13,,,53,247
2016-2017,Xavier Johnson,Colorado,Sr.,6-7,G,32,164,,106,,,335,49.0,,,,157,,,,,,,,,,,,,,,,,
2016-2017,Xavier Moon,Morehead St.,Sr.,6-2,G,30,164,71,82,481,16.0,,,2.37,173,,92,89.1,,,139,4.6,,,,,59,2.36,1,,1051:00,35:02,,
2016-2017,Xavier Rathan-Mayes,Florida St.,Jr.,6-4,G,35,,,,,,,,,,,,,,,168,4.8,,,,,65,2.58,,,,,,
2016-2017,Xeyrius Williams,Dayton,So.,6-9,F,32,,,,,,,,,,,,,,,,,36,1.13,,,,,,,,,,
2016-2017,Yante Maten,Georgia,Jr.,6-8,F,29,179,21,149,528,18.2,345,51.9,,,,208,,197,6.8,,,43,1.48,,,,,,5,,,72,
2016-2017,Yettra Specks,Jackson St.,Sr.,5-10,G,32,,70,112,,,,,2.19,215,,131,85.5,,,,,,,,,,,,,1175:00,36:43,,
2016-2017,Yoeli Childs,BYU,Fr.,6-8,F,33,,,,,,,,,,,,,272,8.2,,,46,1.39,,,,,,5,,,62,210
2016-2017,Yunus Hopkinson,St. Francis Brooklyn,Sr.,5-10,G,31,,65,,,,,,2.10,232,,,,,,,,,,,,,,,,,,,
2016-2017,Yuta Watanabe,George Washington,Jr.,6-9,F,28,,,76,,,,,,,,93,81.7,,,,,32,1.14,,,,,,,982:00,35:04,,
2016-2017,Zach Charles,Eastern Ky.,Jr.,6-7,F,31,,,,,,,,,,,,,,2.16,,,41,1.32,,,,,,,,,67,
2016-2017,Zach Collins,Gonzaga,Fr.,7-0,F,39,,,,,,,,,,,,,230,,,,69,1.77,,,,,,,,,66,164
2016-2017,Zach Gengler,Portland St.,Sr.,6-2,G,31,,,,,,,,,,,,,,,,,,,52,1.68,,,,,,,,
2016-2017,Zach Gordon,Cal Poly,Sr.,6-8,F,30,,,,,,,,,,,,,,2.17,,,41,1.37,,,,,,,,,65,
2016-2017,Zach Jackson,Omaha,So.,6-5,G,31,,,91,,,,,,,,114,79.8,,,,,,,,,,,,,,,,
2016-2017,Zach Johnson,FGCU,So.,6-2,G,33,,,,,,,,,,,,,,,,,,,45,1.36,,,,,,,,
2016-2017,Zach LeDay,Virginia Tech,Sr.,6-7,F,33,183,11,166,543,16.5,340,53.8,,,,215,,242,7.3,,,33,1.00,,,,,,6,,,82,160
2016-2017,Zach Lofton,Texas Southern,Jr.,6-3,G,35,185,33,184,587,16.8,440,,,,,234,78.6,,,,,,,47,1.34,,,,,1139:00,,,
2016-2017,Zach Sellers,Savannah St.,Fr.,6-1,G,29,,,,,,,,,,,,,,,95,,,,,,52,1.83,,,,,,
2016-2017,Zach Smith,Texas Tech,Jr.,6-8,F,31,,,,,,,,,,,,,223,7.2,,,43,1.39,,,,,,8,,,80,143
2016-2017,Zach Thomas,Bucknell,Jr.,6-6,F,35,181,56,140,558,15.9,382,47.4,,,,172,81.4,230,5.46,120,,,,,,,,,5,,,39,191
2016-2017,Zachary Hamilton,Prairie View,Jr.,6-4,F,33,163,80,92,,,387,,2.42,200,,111,82.9,,,,,,,,,,,,,,,,
2016-2017,Zack Denny,Bowling Green,Sr.,6-2,G,31,,,,,,,,,,,,,,,,,,,61,1.97,,,,,,,,
2016-2017,Zack Moore,Seattle U,So.,6-5,F,30,,74,,,,,,2.47,195,,,,,,,,,,,,,,,,,,,
2016-2017,Zak Irvin,Michigan,Sr.,6-6,G,38,195,,,,,430,45.3,,,,,,,,113,,,,,,,,,,1345:00,35:23,,
2016-2017,Zak Showalter,Wisconsin,Sr.,6-3,G,37,,,,,,,,,,,,,,,,,,,57,1.54,,,,,1092:00,,,
2016-2017,Zane Najdawi,The Citadel,So.,6-7,F,33,,,154,,,,,,,,185,83.2,220,6.7,,,38,1.15,,,,,,6,,,93,127
2016-2017,Zane Waterman,Manhattan,Jr.,6-9,F,32,,,121,,,,,,,,155,78.1,223,7.0,,,,,,,,,,,,,62,161
2016-2017,Zavier Turner,Manhattan,Jr.,5-9,G,32,,,154,,,,,,,,174,88.5,,,,,,,,,,,,,,,,
2016-2017,Zaynah Robinson,Norfolk St.,Jr.,6-0,G,33,148,,91,,,390,,,,,117,77.8,,,148,4.5,,,53,1.61,55,2.69,,,1176:00,35:38,,
2016-2017,Zena Edosomwan,Harvard,Sr.,6-9,F,28,,,,,,,,,,,,,,2.21,,,48,1.71,,,,,,,,,62,
2016-2017,Zjori Bosha,Lamar University,Jr.,6-5,G,32,,,,,,,,,,,,,,,,,,,48,1.50,,,,,,,,
2016-2017,Zylan Cheatham,San Diego St.,So.,6-9,F,31,,,,,,,,,,,,,,2.23,,,,,,,,,,,,,69,
2017-2018,A.J. Davis,UCF,Sr.,6-9,F,31,,,111,,,,,,,,161,,235,7.6,,,,,,,,,,8,,,60,175
2017-2018,A.J. Hicks,Morehead St.,Jr.,6-0,G,29,,,99,,,,,,,,155,,,,122,4.2,,,51,1.76,,,,,,,,
2017-2018,A.J. Mosby,Alcorn,Sr.,6-3,G,32,178,,,,,354,50.3,,,,,,,,124,3.9,,,46,1.44,64,1.94,,,,,,
2017-2018,AJ Brodeur,Penn,So.,6-8,F,33,179,,,,,333,53.8,,,,,,237,7.2,,,41,1.24,,,,,,5,,,59,178
2017-2018,AJ Sumbry,Wagner,Jr.,6-8,F,33,,,,,,,,,,,,,214,2.73,,,58,1.76,,,,,,,,,90,124
2017-2018,AJ Wilson,George Mason,Fr.,6-7,F,31,,,,,,,,,,,,,,,,,34,1.10,,,,,,,,,,
2017-2018,Aaron Augustin,SFA,So.,5-11,G,34,,,,,,,,,,,,,,,111,,,,52,1.53,54,2.06,,,,,,
2017-2018,Aaron Calixte,Maine,Jr.,5-11,G,32,187,61,107,542,16.9,393,47.6,,,,119,89.9,,,,,,,,,,,,,,,,
2017-2018,Aaron Cook,Southern Ill.,So.,6-2,G,33,,,,,,,,,,,,,,,,,,,47,1.42,,,,,,,,
2017-2018,Aaron Holiday,UCLA,Jr.,6-1,G,33,212,88,159,671,20.3,460,46.1,2.67,205,42.9,192,82.8,,,192,5.8,,,,,,,,,1244:00,37:41,,
2017-2018,Aaron Menzies,Seattle U,Jr.,7-3,C,34,,,,,,,,,,,,,302,8.9,,,79,2.32,,,,,,14,,,118,184
2017-2018,Aaron Thompson,Butler,Fr.,6-2,G,35,,,,,,,,,,,,,,,118,,,,,,58,2.03,,,,,,
2017-2018,Abayomi Iyiola,Stetson,Fr.,6-10,F,32,,,,,,,,,,,,,,2.41,,,,,,,,,,,,,77,
2017-2018,Abdoulaye Gueye,Georgia Tech,Jr.,6-9,F,31,,,,,,,,,,,,,,,,,33,1.06,,,,,,,,,,
2017-2018,Abdul Ado,Mississippi St.,Fr.,6-11,F,36,,,,,,,,,,,,,231,2.86,,,67,1.86,,,,,,,,,103,128
2017-2018,Abdul Lewis,NJIT,Jr.,6-10,F,28,,,,,,,,,,,,,246,8.8,,,,,,,,,,8,,,89,157
2017-2018,Abdulai Bundu,Quinnipiac,Jr.,6-6,F,33,,,,,,,,,,,,,,2.27,,,,,,,,,,,,,75,
2017-2018,Aboubacar Diallo,Eastern Ill.,Jr.,6-9,F,31,,,,,,,,,,,,,,,,,47,1.52,,,,,,,,,,
2017-2018,Adam Grant,Bryant,So.,6-1,G,27,148,65,,,,393,,2.41,190,,,,,,,,,,,,,,,,997:00,36:55,,
2017-2018,Admiral Schofield,Tennessee,Jr.,6-6,F,35,177,,,,,396,44.7,,,,,,224,4.80,,,,,,,,,,,,,56,168
